,title,embedding_dim,rnn_units,rnn_type,optimizer,activation,dropout,accuracy,loss,precision,recall
39,['$100_$64_$SimpleRNN_$sgd'],[100],[64],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.957847535610199],[0.14664068818092346],[0.8984375],[0.7718120813369751]
40,['$100_$128_$SimpleRNN_$rmsprop'],[100],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9766815900802612],[0.09923646599054337],[0.918367326259613],[0.9060402512550354]
41,['$100_$128_$SimpleRNN_$rmsprop'],[100],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9829596281051636],[0.12162022292613983],[0.9924242496490479],[0.8791946172714233]
42,['$100_$128_$SimpleRNN_$rmsprop'],[100],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9811659455299377],[0.10237343609333038],[0.9571428298950195],[0.899328887462616]
43,['$100_$128_$SimpleRNN_$rmsprop'],[100],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9748879075050354],[0.08951696008443832],[0.984000027179718],[0.8255033493041992]
44,['$100_$128_$SimpleRNN_$sgd'],[100],[128],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.8681614398956299],[0.2651447057723999],[1.0],[0.01342281885445118]
45,['$100_$128_$SimpleRNN_$sgd'],[100],[128],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.870851993560791],[0.25158172845840454],[1.0],[0.033557046204805374]
46,['$100_$128_$SimpleRNN_$sgd'],[100],[128],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.4807174801826477],[0.8259292244911194],[0.2013888955116272],[0.9731543660163879]
47,['$100_$128_$SimpleRNN_$sgd'],[100],[128],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.9650224447250366],[0.1370185762643814],[0.9824561476707458],[0.7516778707504272]
48,['$200_$32_$SimpleRNN_$rmsprop'],[200],[32],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9847533702850342],[0.07349938154220581],[0.9852941036224365],[0.899328887462616]
49,['$200_$32_$SimpleRNN_$rmsprop'],[200],[32],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9865471124649048],[0.0982772633433342],[1.0],[0.899328887462616]
50,['$200_$32_$SimpleRNN_$rmsprop'],[200],[32],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9847533702850342],[0.08803656697273254],[0.97826087474823],[0.9060402512550354]
51,['$200_$32_$SimpleRNN_$rmsprop'],[200],[32],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9865471124649048],[0.07594985514879227],[1.0],[0.899328887462616]
52,['$200_$32_$SimpleRNN_$sgd'],[200],[32],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.8663676977157593],[0.2888580858707428],[0.0],[0.0]
53,['$200_$32_$SimpleRNN_$sgd'],[200],[32],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.8663676977157593],[0.36827927827835083],[0.0],[0.0]
54,['$200_$32_$SimpleRNN_$sgd'],[200],[32],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.9372197389602661],[0.19401942193508148],[1.0],[0.5302013158798218]
55,['$200_$32_$SimpleRNN_$sgd'],[200],[32],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.9488789439201355],[0.16228759288787842],[1.0],[0.6174496412277222]
56,['$200_$64_$SimpleRNN_$rmsprop'],[200],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9865471124649048],[0.09077149629592896],[0.9926470518112183],[0.9060402512550354]
57,['$200_$64_$SimpleRNN_$rmsprop'],[200],[64],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9829596281051636],[0.1085352674126625],[0.9710144996643066],[0.899328887462616]
58,['$200_$64_$SimpleRNN_$rmsprop'],[200],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9847533702850342],[0.08791235089302063],[0.97826087474823],[0.9060402512550354]
59,['$200_$64_$SimpleRNN_$rmsprop'],[200],[64],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9820627570152283],[0.11007097363471985],[0.970802903175354],[0.8926174640655518]
60,['$200_$64_$SimpleRNN_$sgd'],[200],[64],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.949775755405426],[0.18694783747196198],[0.904347836971283],[0.6979866027832031]
61,['$200_$64_$SimpleRNN_$sgd'],[200],[64],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.9147982001304626],[0.23975443840026855],[0.6534090638160706],[0.7718120813369751]
62,['$200_$64_$SimpleRNN_$sgd'],[200],[64],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.8663676977157593],[0.3630216121673584],[0.0],[0.0]
63,['$200_$64_$SimpleRNN_$sgd'],[200],[64],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.9650224447250366],[0.13651806116104126],[0.9583333134651184],[0.7718120813369751]
64,['$200_$128_$SimpleRNN_$rmsprop'],[200],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.2],[0.9838564991950989],[0.11504969745874405],[0.9851852059364319],[0.8926174640655518]
65,['$200_$128_$SimpleRNN_$rmsprop'],[200],[128],['SimpleRNN'],['rmsprop'],['relu'],[0.4],[0.9856502413749695],[0.10766179859638214],[0.9925925731658936],[0.899328887462616]
66,['$200_$128_$SimpleRNN_$rmsprop'],[200],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.2],[0.9865471124649048],[0.07744070142507553],[0.9785714149475098],[0.9194630980491638]
67,['$200_$128_$SimpleRNN_$rmsprop'],[200],[128],['SimpleRNN'],['rmsprop'],['tanh'],[0.4],[0.9811659455299377],[0.11959709227085114],[0.970588207244873],[0.8859060406684875]
68,['$200_$128_$SimpleRNN_$sgd'],[200],[128],['SimpleRNN'],['sgd'],['relu'],[0.2],[0.9470852017402649],[0.17427095770835876],[0.8358209133148193],[0.7516778707504272]
69,['$200_$128_$SimpleRNN_$sgd'],[200],[128],['SimpleRNN'],['sgd'],['relu'],[0.4],[0.9506726264953613],[0.1891917735338211],[0.9607843160629272],[0.6577181220054626]
70,['$200_$128_$SimpleRNN_$sgd'],[200],[128],['SimpleRNN'],['sgd'],['tanh'],[0.2],[0.9587444067001343],[0.15682180225849152],[1.0],[0.6912751793861389]
71,['$200_$128_$SimpleRNN_$sgd'],[200],[128],['SimpleRNN'],['sgd'],['tanh'],[0.4],[0.9479820728302002],[0.22396177053451538],[0.8053691387176514],[0.8053691387176514]
