,title,embedding_dim,rnn_units,rnn_type,optimizer,activation,dropout,accuracy,loss,precision,recall
52,['$200_$32_$GRU_$sgd'],[200],[32],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.39994102716445923],[0.0],[0.0]
53,['$200_$32_$GRU_$sgd'],[200],[32],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.401250422000885],[0.0],[0.0]
54,['$200_$32_$GRU_$sgd'],[200],[32],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.4007539749145508],[0.0],[0.0]
55,['$200_$32_$GRU_$sgd'],[200],[32],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.4004940688610077],[0.0],[0.0]
56,['$200_$64_$GRU_$rmsprop'],[200],[64],['GRU'],['rmsprop'],['relu'],[0.2],[0.9883407950401306],[0.054328206926584244],[0.9795918464660645],[0.9350649118423462]
57,['$200_$64_$GRU_$rmsprop'],[200],[64],['GRU'],['rmsprop'],['relu'],[0.4],[0.9838564991950989],[0.06267988681793213],[0.9473684430122375],[0.9350649118423462]
58,['$200_$64_$GRU_$rmsprop'],[200],[64],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9865471124649048],[0.05546923354268074],[0.9793103337287903],[0.9220778942108154]
59,['$200_$64_$GRU_$rmsprop'],[200],[64],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9757847785949707],[0.07093372195959091],[0.8848484754562378],[0.948051929473877]
60,['$200_$64_$GRU_$sgd'],[200],[64],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.4005783498287201],[0.0],[0.0]
61,['$200_$64_$GRU_$sgd'],[200],[64],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.3996973931789398],[0.0],[0.0]
62,['$200_$64_$GRU_$sgd'],[200],[64],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.40095019340515137],[0.0],[0.0]
63,['$200_$64_$GRU_$sgd'],[200],[64],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.3976209759712219],[0.0],[0.0]
64,['$200_$128_$GRU_$rmsprop'],[200],[128],['GRU'],['rmsprop'],['relu'],[0.2],[0.9793722033500671],[0.07304557412862778],[0.9119496941566467],[0.9415584206581116]
65,['$200_$128_$GRU_$rmsprop'],[200],[128],['GRU'],['rmsprop'],['relu'],[0.4],[0.9856502413749695],[0.07289458066225052],[0.948051929473877],[0.948051929473877]
66,['$200_$128_$GRU_$rmsprop'],[200],[128],['GRU'],['rmsprop'],['tanh'],[0.2],[0.9802690744400024],[0.07144895195960999],[0.9230769276618958],[0.9350649118423462]
67,['$200_$128_$GRU_$rmsprop'],[200],[128],['GRU'],['rmsprop'],['tanh'],[0.4],[0.9865471124649048],[0.05436738580465317],[0.9602649211883545],[0.9415584206581116]
68,['$200_$128_$GRU_$sgd'],[200],[128],['GRU'],['sgd'],['relu'],[0.2],[0.8618834018707275],[0.40036535263061523],[0.0],[0.0]
69,['$200_$128_$GRU_$sgd'],[200],[128],['GRU'],['sgd'],['relu'],[0.4],[0.8618834018707275],[0.39974698424339294],[0.0],[0.0]
70,['$200_$128_$GRU_$sgd'],[200],[128],['GRU'],['sgd'],['tanh'],[0.2],[0.8618834018707275],[0.39987850189208984],[0.0],[0.0]
71,['$200_$128_$GRU_$sgd'],[200],[128],['GRU'],['sgd'],['tanh'],[0.4],[0.8618834018707275],[0.3993526101112366],[0.0],[0.0]
